equity_style_score,equity_size_score,environmental_score,social_score,governance_score,sustainability_score,fund_name,fund_return_2020_q3
176.78,324.79,7.47,10.62,8.75,27.96,Lyxor MSCI India UCITS ETF Acc EUR,True
124.8,232.99,10.55,9.63,5.22,26.68,iShares Global Infrastructure UCITS ETF USD (Dist),False
111.68,238.14,5.27,8.69,7.84,22.56,Xtrackers FTSE MIB UCITS ETF 1D,False
157.41,312.44,4.58,7.8,7.56,19.95,Xtrackers Euro Stoxx 50 UCITS ETF 1D,False
136.89,296.65,5.15,7.18,8.23,20.56,Xtrackers DAX UCITS ETF 1C,True
97.69,214.66,3.25,3.88,6.41,16.45,iShares Asia Property Yield UCITS ETF USD (Dist),False
129.47,160.73,3.74,4.5,5.42,16.02,iShares Developed Markets Property Yield UCITS ETF USD (Dist),False
160.32,291.88,4.21,10.51,7.98,22.78,Xtrackers MSCI World Swap UCITS ETF 1C,True
149.39,280.98,4.77,9.33,7.79,21.9,Xtrackers MSCI Europe UCITS ETF 1C,False
147.91,286.69,5.01,9.8,9.11,23.95,Xtrackers MSCI Japan UCITS ETF 1C,True
166.12,295.42,3.79,10.95,7.94,22.79,Xtrackers MSCI USA Swap UCITS ETF 1C,True
165.25,340.16,3.9,11.16,8.08,23.14,Xtrackers Switzerland UCITS ETF 1D,True
154.78,129.74,8.45,11.54,10.04,30.02,iShares MSCI Turkey UCITS ETF USD (Dist),False
140.68,139.05,4.12,4.81,4.9,16.26,iShares US Property Yield UCITS ETF USD (Dist),False
140.68,139.05,4.12,4.81,4.9,16.26,iShares US Property Yield UCITS ETF USD (Dist),False
146.99,286.46,5.01,9.8,9.11,23.95,iShares MSCI Japan UCITS ETF USD (Dist),True
116.82,402.59,4.87,12.7,11.22,29.09,iShares China Large Cap UCITS ETF USD (Dist),True
158.16,291.16,4.2,10.51,7.98,22.77,iShares MSCI World UCITS ETF USD (Dist),True
144.73,343.5,6.03,10.65,9.57,27.11,iShares MSCI EM UCITS ETF USD (Dist),True
98.99,340.65,6.23,10.31,11.35,28.27,iShares MSCI Korea UCITS ETF USD (Dist),True
134.43,324.43,8.6,11.78,9.58,30.76,iShares MSCI Brazil UCITS ETF USD (Dist),False
131.06,328.48,5.61,6.57,7.9,20.45,iShares MSCI Taiwan UCITS ETF USD (Dist),True
59.42,221.66,10.98,9.3,9.09,32.1,iShares MSCI Eastern Europe Capped UCITS ETF USD (Dist),False
163.76,293.99,3.91,10.94,7.89,22.85,iShares MSCI North America UCITS ETF USD (Dist),True
32.97,234.99,5.79,8.62,8.28,26.1,iShares Asia Pacific Dividend UCITS ETF USD (Dist),False
97.69,214.66,3.25,3.88,6.41,16.45,iShares Asia Property Yield UCITS ETF USD (Dist),False
129.47,160.73,3.74,4.5,5.42,16.02,iShares Developed Markets Property Yield UCITS ETF USD (Dist),False
124.8,232.99,10.55,9.63,5.22,26.68,iShares Global Infrastructure UCITS ETF USD (Dist),False
154.78,129.74,8.45,11.54,10.04,30.02,iShares MSCI Turkey UCITS ETF USD (Dist),False
165.36,149.13,8.0,8.29,5.57,26.75,iShares Global Water UCITS ETF USD (Dist),True
165.36,149.13,8.0,8.29,5.57,26.75,iShares Global Water UCITS ETF USD (Dist),True
149.25,349.48,6.0,10.61,9.54,27.12,Lyxor MSCI Emerging Markets UCITS ETF Acc EUR,True
114.14,265.2,5.26,7.74,7.18,20.17,Xtrackers Euro Stoxx Quality Dividend UCITS ETF ID,False
154.78,129.74,8.45,11.54,10.04,30.02,iShares MSCI Turkey UCITS ETF USD (Dist),False
45.89,226.33,5.76,8.97,8.4,23.14,Xtrackers Stoxx Global Select Dividend 100 Swap UCITS ETF 1D,False
119.26,266.56,6.06,10.47,7.52,24.06,Xtrackers FTSE 100 Income UCITS ETF 1D,False
125.25,242.51,5.77,10.22,7.42,23.82,Xtrackers FTSE All-Share UCITS ETF 1D,False
160.61,129.18,4.47,9.37,7.19,22.79,Xtrackers FTSE 250 UCITS ETF 1D,True
132.02,330.79,5.64,6.56,7.82,20.34,Xtrackers MSCI Taiwan UCITS ETF 1C,True
149.25,349.48,6.0,10.61,9.54,27.12,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,True
133.69,303.72,8.55,11.35,9.26,29.77,Xtrackers MSCI EM Latin America Swap UCITS ETF 1C,False
153.58,371.25,5.43,10.54,9.46,26.29,Xtrackers MSCI EM Asia Swap UCITS ETF 1C,True
134.44,324.45,8.59,11.78,9.58,30.76,Xtrackers MSCI Brazil UCITS ETF 1C,False
117.64,402.28,4.88,12.7,11.22,29.07,Xtrackers FTSE China 50 UCITS ETF 1C,True
146.55,424.6,4.84,12.22,10.31,27.5,iShares BRIC 50 UCITS ETF USD (Dist),True
149.39,280.99,4.77,9.33,7.79,21.91,iShares Core MSCI Europe UCITS ETF EUR (Dist),True
166.43,138.62,3.54,3.64,5.27,14.34,iShares UK Property UCITS ETF GBP (Dist),False
111.76,238.13,5.28,8.68,7.84,22.56,iShares FTSE MIB UCITS ETF EUR (Dist),False
134.6,264.53,9.41,8.25,6.05,23.71,Xtrackers Stoxx Europe 600 Utilities Swap UCITS ETF 1C,True
142.12,251.22,2.51,8.04,7.0,17.83,Xtrackers Stoxx Europe 600 Telecommunications Swap UCITS ETF 1C,False
246.06,284.01,2.69,6.63,6.31,15.86,Xtrackers Stoxx Europe 600 Technology Swap UCITS ETF 1C,True
78.01,277.52,12.4,8.61,7.79,28.79,Xtrackers Stoxx Europe 600 Oil & Gas Swap UCITS ETF 1C,False
194.55,241.6,4.81,9.52,7.22,21.91,Xtrackers Stoxx Europe 600 Industrial Goods Swap UCITS ETF 1C,True
190.56,313.11,1.58,13.4,9.54,24.57,Xtrackers Stoxx Europe 600 Health Care Swap UCITS ETF 1C,False
163.54,304.05,7.19,10.22,5.84,23.25,Xtrackers Stoxx Europe 600 Food & Beverage Swap UCITS ETF 1C,True
83.1,249.58,12.36,9.37,6.5,28.23,Xtrackers Stoxx Europe 600 Basic Resources Swap UCITS ETF 1C,True
54.18,250.21,1.61,12.73,11.18,25.68,Xtrackers Stoxx Europe 600 Banks Swap UCITS ETF 1C,False
176.78,324.79,7.47,10.62,8.75,27.96,Lyxor MSCI India UCITS ETF Acc USD,True
98.14,344.05,6.17,10.25,11.46,28.25,Xtrackers MSCI Korea UCITS ETF 1C,True
141.48,195.84,4.85,8.86,7.66,21.67,iShares EURO STOXX Mid UCITS ETF EUR (Dist),True
119.27,266.54,6.06,10.47,7.52,24.06,iShares Core FTSE 100 UCITS ETF GBP (Dist),False
116.82,402.59,4.87,12.7,11.22,29.09,iShares China Large Cap UCITS ETF USD (Dist),True
146.99,286.46,5.01,9.8,9.11,23.95,iShares MSCI Japan UCITS ETF USD (Dist),True
157.02,300.35,3.83,10.8,7.9,22.54,iShares Core S&P 500 UCITS ETF USD Dist,True
157.02,300.35,3.83,10.8,7.9,22.54,iShares Core S&P 500 UCITS ETF USD Dist,True
162.89,288.15,3.49,9.84,8.17,21.49,iShares SLI® ETF (CH),True
163.69,287.8,3.49,9.84,8.17,21.5,UBS ETF (CH) – SLI® (CHF) A-dis,True
95.62,261.86,5.79,9.46,8.38,23.67,Invesco FTSE RAFI Europe UCITS ETF,False
70.88,259.26,7.48,10.69,7.82,25.99,Invesco FTSE RAFI UK 100 UCITS ETF,False
72.67,326.35,7.47,11.01,10.09,29.15,Invesco FTSE RAFI Emerging Markets UCITS ETF,False
94.15,260.35,5.65,10.05,8.14,24.61,Invesco FTSE RAFI All World 3000 UCITS ETF,False
96.87,246.14,4.95,10.4,7.67,23.88,Invesco FTSE RAFI US 1000 UCITS ETF,True
141.09,270.82,5.79,10.73,7.55,24.08,iShares MSCI USA Islamic UCITS ETF USD (Dist),True
148.94,283.47,6.38,9.79,7.59,23.77,iShares MSCI World Islamic UCITS ETF USD (Dist),True
145.3,391.2,7.41,9.58,9.28,26.89,iShares MSCI EM Islamic UCITS ETF USD (Dist),True
163.76,293.99,3.91,10.94,7.89,22.85,iShares MSCI North America UCITS ETF USD (Dist),True
132.19,305.32,8.55,11.35,9.26,29.77,iShares MSCI EM Latin America UCITS ETF USD (Dist),False
21.16,204.05,4.26,11.78,9.73,25.77,WisdomTree Grains,True
53.03,147.06,22.91,17.29,8.45,48.65,WisdomTree Natural Gas,True
146.55,424.6,4.84,12.22,10.31,27.5,iShares BRIC 50 UCITS ETF USD (Dist),True
146.55,424.6,4.84,12.22,10.31,27.5,iShares BRIC 50 UCITS ETF USD (Dist),True
145.3,391.2,7.41,9.58,9.28,26.89,iShares MSCI EM Islamic UCITS ETF USD (Dist),False
149.39,280.99,4.77,9.33,7.79,21.91,iShares Core MSCI Europe UCITS ETF EUR (Dist),False
149.39,280.99,4.77,9.33,7.79,21.91,iShares Core MSCI Europe UCITS ETF EUR (Dist),True
132.19,305.32,8.55,11.35,9.26,29.77,iShares MSCI EM Latin America UCITS ETF USD (Dist),False
132.19,305.32,8.55,11.35,9.26,29.77,iShares MSCI EM Latin America UCITS ETF USD (Dist),False
141.09,270.82,5.79,10.73,7.55,24.08,iShares MSCI USA Islamic UCITS ETF USD (Dist),True
141.09,270.82,5.79,10.73,7.55,24.08,iShares MSCI USA Islamic UCITS ETF USD (Dist),False
148.94,283.47,6.38,9.79,7.59,23.77,iShares MSCI World Islamic UCITS ETF USD (Dist),True
148.94,283.47,6.38,9.79,7.59,23.77,iShares MSCI World Islamic UCITS ETF USD (Dist),False
109.5,145.41,9.24,2.98,4.53,19.41,iShares Global Timber & Forestry UCITS ETF USD (Dist),True
33.72,253.7,12.16,8.91,9.36,33.44,Xtrackers MSCI Russia Capped Swap UCITS ETF 1C,False
134.43,324.43,8.6,11.78,9.58,30.76,iShares MSCI Brazil UCITS ETF USD (Dist),False
59.42,221.66,10.98,9.3,9.09,32.1,iShares MSCI Eastern Europe Capped UCITS ETF USD (Dist),False
119.64,228.28,8.51,8.81,5.19,23.09,Xtrackers S&P Global Infrastructure Swap UCITS ETF 1C,False
191.34,184.19,7.83,8.84,7.48,24.15,WisdomTree Wheat 2x Daily Leveraged,True
-51.41,264.35,1.47,11.43,13.44,26.34,WisdomTree Corn 2x Daily Leveraged,True
-51.41,264.35,1.47,11.43,13.44,26.34,WisdomTree Cocoa 2x Daily Leveraged,True
97.69,214.66,3.25,3.88,6.41,16.45,iShares Asia Property Yield UCITS ETF USD (Dist),False
129.47,160.73,3.74,4.5,5.42,16.02,iShares Developed Markets Property Yield UCITS ETF USD (Dist),False
140.68,139.05,4.12,4.81,4.9,16.26,iShares US Property Yield UCITS ETF USD (Dist),False
53.03,147.06,22.91,17.29,8.45,48.65,WisdomTree Natural Gas 2x Daily Leveraged,True
53.03,147.06,22.91,17.29,8.45,48.65,WisdomTree Natural Gas 1x Daily Short,False
140.11,249.3,6.79,9.37,5.94,22.1,WisdomTree WTI Crude Oil 2x Daily Leveraged,False
140.11,249.3,6.79,9.37,5.94,22.1,WisdomTree WTI Crude Oil 1x Daily Short,False
145.01,256.13,4.6,8.91,8.15,25.06,Lyxor Japan (Topix) (DR) UCITS ETF Dist JPY,True
173.63,147.67,3.47,9.62,7.44,22.4,Deka STOXX® Europe Strong Style Composite 40 UCITS ETF,True
57.87,78.93,4.42,8.71,7.47,23.28,Deka STOXX® Europe Strong Value 20 UCITS ETF,False
289.58,216.52,2.58,10.46,7.41,21.57,Deka STOXX® Europe Strong Growth 20 UCITS ETF,True
157.39,312.44,4.58,7.8,7.56,19.95,Deka EURO STOXX 50® UCITS ETF,False
136.91,296.65,5.15,7.18,8.23,20.56,Deka DAX® UCITS ETF,True
162.91,288.14,3.49,9.84,8.17,21.49,Xtrackers SLI UCITS ETF 1D,True
68.73,227.65,4.93,7.01,8.05,19.99,Deka EURO STOXX® Select Dividend 30 UCITS ETF,False
136.97,296.63,5.15,7.18,8.23,20.56,Deka DAX® (ausschüttend) UCITS ETF,True
156.93,290.32,4.21,10.51,7.98,22.78,UBS ETF - MSCI World UCITS ETF (USD) A-dis,True
156.93,290.32,4.21,10.51,7.98,22.78,UBS ETF - MSCI World UCITS ETF (USD) A-dis,True
165.36,149.13,8.0,8.29,5.57,26.75,iShares Global Water UCITS ETF USD (Dist),True
129.47,160.73,3.74,4.5,5.42,16.02,iShares Developed Markets Property Yield UCITS ETF USD (Dist),False
117.64,402.28,4.88,12.7,11.22,29.07,Xtrackers FTSE China 50 UCITS ETF 1C,True
117.64,402.28,4.88,12.7,11.22,29.07,Xtrackers FTSE China 50 UCITS ETF 1C,True
84.23,229.94,8.77,9.69,6.51,26.98,iShares Emerging Market Infrastructure UCITS ETF USD (Dist),False
134.44,324.45,8.59,11.78,9.58,30.76,Xtrackers MSCI Brazil UCITS ETF 1C,False
134.44,324.45,8.59,11.78,9.58,30.76,Xtrackers MSCI Brazil UCITS ETF 1C,False
153.58,371.25,5.43,10.54,9.46,26.29,Xtrackers MSCI EM Asia Swap UCITS ETF 1C,True
153.58,371.25,5.43,10.54,9.46,26.29,Xtrackers MSCI EM Asia Swap UCITS ETF 1C,True
129.22,230.48,8.27,10.67,10.23,30.97,"Xtrackers MSCI EM Europe, Middle East & Africa Swap UCITS ETF 1C",False
133.69,303.72,8.55,11.35,9.26,29.77,Xtrackers MSCI EM Latin America Swap UCITS ETF 1C,False
133.69,303.72,8.55,11.35,9.26,29.77,Xtrackers MSCI EM Latin America Swap UCITS ETF 1C,False
149.25,349.48,6.0,10.61,9.54,27.12,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,True
149.25,349.48,6.0,10.61,9.54,27.12,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,True
149.39,280.98,4.77,9.33,7.79,21.9,Xtrackers MSCI Europe UCITS ETF 1C,False
149.39,280.98,4.77,9.33,7.79,21.9,Xtrackers MSCI Europe UCITS ETF 1C,False
160.32,291.88,4.21,10.51,7.98,22.78,Xtrackers MSCI World Swap UCITS ETF 1C,True
147.91,286.69,5.01,9.8,9.11,23.95,Xtrackers MSCI Japan UCITS ETF 1C,True
147.91,286.69,5.01,9.8,9.11,23.95,Xtrackers MSCI Japan UCITS ETF 1C,True
166.12,295.42,3.79,10.95,7.94,22.79,Xtrackers MSCI USA Swap UCITS ETF 1C,True
98.14,344.05,6.17,10.25,11.46,28.25,Xtrackers MSCI Korea UCITS ETF 1C,True
